MM/DD/YY	HH:MM:SS	psia	degC	
 
10/17/11	17:29:52	14.37	29.5
10/17/11	17:30:22	14.36	29.5
10/17/11	17:30:52	14.37	29.5
10/17/11	17:31:22	14.37	29.4
10/17/11	17:31:52	14.38	29.4
10/17/11	17:32:22	14.19	29.4
10/17/11	17:32:52	14.29	29.5
10/17/11	17:33:22	14.35	29.5
10/17/11	17:33:52	14.32	29.5
10/17/11	17:34:22	14.30	29.6
10/17/11	17:34:52	14.30	29.6
10/17/11	17:35:22	14.28	29.6
10/17/11	17:35:52	14.27	29.6
10/17/11	17:36:22	14.28	29.6
10/17/11	17:36:52	14.28	29.6
10/17/11	17:37:22	14.27	29.6
10/17/11	17:37:52	14.28	29.6
10/17/11	17:38:22	14.28	29.6
10/17/11	17:38:52	14.30	29.6
10/17/11	17:39:22	14.30	29.6
10/17/11	17:39:52	14.31	29.6
10/17/11	17:40:22	14.33	29.6
10/17/11	17:40:52	14.30	29.6
10/17/11	17:41:22	14.31	29.6
10/17/11	17:41:52	14.23	29.6
10/17/11	17:42:22	14.19	29.6
10/17/11	17:42:52	14.06	29.6
10/17/11	17:43:22	13.38	29.6
10/17/11	17:43:52	14.01	29.7
10/17/11	17:44:22	14.17	29.9
10/17/11	17:44:52	14.16	29.9
10/17/11	17:45:22	14.14	30.0
10/17/11	17:45:52	14.14	30.0
10/17/11	17:46:22	14.15	30.1
10/17/11	17:46:52	14.14	30.1
10/17/11	17:47:22	14.13	30.1
10/17/11	17:47:52	14.14	30.1
10/17/11	17:48:22	14.16	30.1
10/17/11	17:48:52	14.16	30.1
10/17/11	17:49:22	14.17	30.1
10/17/11	17:49:52	14.20	30.1
10/17/11	17:50:22	14.22	30.0
10/17/11	17:50:52	14.23	30.0
10/17/11	17:51:22	14.21	30.0
10/17/11	17:51:52	14.19	30.0
10/17/11	17:52:22	14.23	29.9
10/17/11	17:52:52	14.23	29.9
10/17/11	17:53:22	14.23	29.9
10/17/11	17:53:52	14.23	29.9
10/17/11	17:54:22	14.22	29.8
10/17/11	17:54:52	14.24	29.8
10/17/11	17:55:22	14.24	29.8
10/17/11	17:55:52	14.26	29.7
10/17/11	17:56:22	14.24	29.7
10/17/11	17:56:52	14.24	29.7
10/17/11	17:57:22	14.24	29.6
10/17/11	17:57:52	14.24	29.6
10/17/11	17:58:22	14.24	29.6
10/17/11	17:58:52	14.23	29.5
10/17/11	17:59:22	14.23	29.5
10/17/11	17:59:52	14.21	29.5
10/17/11	18:00:22	14.21	29.4
10/17/11	18:00:52	14.22	29.4
10/17/11	18:01:22	14.23	29.4
10/17/11	18:01:52	14.22	29.3
10/17/11	18:02:22	14.32	29.3
10/17/11	18:02:52	14.33	29.3
10/17/11	18:03:22	14.31	29.2
10/17/11	18:03:52	14.32	29.2
10/17/11	18:04:22	14.32	29.2
10/17/11	18:04:52	14.32	29.1
10/17/11	18:05:22	14.32	29.1
10/17/11	18:05:52	14.32	29.1
10/17/11	18:06:22	14.32	29.0
10/17/11	18:06:52	14.31	29.0
10/17/11	18:07:22	14.28	29.0
10/17/11	18:07:52	14.31	28.9
10/17/11	18:08:22	14.32	28.9
10/17/11	18:08:52	14.31	28.9
10/17/11	18:09:22	14.31	28.9
10/17/11	18:09:52	14.29	28.8
10/17/11	18:10:22	14.30	28.8
10/17/11	18:10:52	14.29	28.8
10/17/11	18:11:22	14.30	28.7
10/17/11	18:11:52	14.32	28.7
10/17/11	18:12:22	14.32	28.7
10/17/11	18:12:52	14.32	28.7
10/17/11	18:13:22	14.31	28.6
10/17/11	18:13:52	14.30	28.6
10/17/11	18:14:22	14.31	28.6
10/17/11	18:14:52	14.29	28.5
10/17/11	18:15:22	14.29	28.5
10/17/11	18:15:52	14.28	28.5
10/17/11	18:16:22	14.27	28.5
10/17/11	18:16:52	14.27	28.4
10/17/11	18:17:22	14.27	28.4
10/17/11	18:17:52	14.29	28.4
10/17/11	18:18:22	14.30	28.4
10/17/11	18:18:52	14.31	28.4
10/17/11	18:19:22	14.30	28.4
10/17/11	18:19:52	14.31	28.3
10/17/11	18:20:22	14.31	28.3
10/17/11	18:20:52	14.31	28.3
10/17/11	18:21:22	14.31	28.3
10/17/11	18:21:52	14.31	28.3
10/17/11	18:22:22	14.31	28.3
10/17/11	18:22:52	14.31	28.3
10/17/11	18:23:22	14.32	28.2
10/17/11	18:23:52	14.31	28.2
10/17/11	18:24:22	14.31	28.2
10/17/11	18:24:52	14.31	28.2
10/17/11	18:25:22	14.31	28.2
10/17/11	18:25:52	14.31	28.2
10/17/11	18:26:22	14.30	28.1
10/17/11	18:26:52	14.30	28.1
10/17/11	18:27:22	14.30	28.1
10/17/11	18:27:52	14.29	28.1
10/17/11	18:28:22	14.30	28.1
10/17/11	18:28:52	14.29	28.1
10/17/11	18:29:22	14.29	28.1
10/17/11	18:29:52	14.30	28.0
10/17/11	18:30:22	14.30	28.0
10/17/11	18:30:52	14.30	28.0
10/17/11	18:31:22	14.30	28.0
10/17/11	18:31:52	14.29	28.0
10/17/11	18:32:22	14.29	28.0
10/17/11	18:32:52	14.30	27.9
10/17/11	18:33:22	14.29	27.9
10/17/11	18:33:52	14.29	27.9
10/17/11	18:34:22	14.29	27.9
10/17/11	18:34:52	14.29	27.9
10/17/11	18:35:22	14.28	27.9
10/17/11	18:35:52	14.29	27.8
10/17/11	18:36:22	14.29	27.8
10/17/11	18:36:52	14.29	27.8
10/17/11	18:37:22	14.29	27.8
10/17/11	18:37:52	14.28	27.8
10/17/11	18:38:22	14.28	27.8
10/17/11	18:38:52	14.28	27.8
10/17/11	18:39:22	14.28	27.7
10/17/11	18:39:52	14.28	27.7
10/17/11	18:40:22	14.28	27.7
10/17/11	18:40:52	14.28	27.7
10/17/11	18:41:22	14.28	27.7
10/17/11	18:41:52	14.28	27.7
10/17/11	18:42:22	14.28	27.7
10/17/11	18:42:52	14.28	27.7
10/17/11	18:43:22	14.28	27.6
10/17/11	18:43:52	14.28	27.6
10/17/11	18:44:22	14.27	27.6
10/17/11	18:44:52	14.28	27.6
10/17/11	18:45:22	14.27	27.6
10/17/11	18:45:52	14.27	27.6
10/17/11	18:46:22	14.28	27.6
10/17/11	18:46:52	14.28	27.6
10/17/11	18:47:22	14.27	27.6
10/17/11	18:47:52	14.27	27.5
10/17/11	18:48:22	14.27	27.5
10/17/11	18:48:52	14.27	27.5
10/17/11	18:49:22	14.27	27.5
10/17/11	18:49:52	14.27	27.5
10/17/11	18:50:22	14.27	27.5
10/17/11	18:50:52	14.27	27.5
10/17/11	18:51:22	14.27	27.5
10/17/11	18:51:52	14.27	27.5
10/17/11	18:52:22	14.27	27.4
10/17/11	18:52:52	14.27	27.4
10/17/11	18:53:22	14.27	27.4
10/17/11	18:53:52	14.27	27.4
10/17/11	18:54:22	14.27	27.4
10/17/11	18:54:52	14.26	27.4
10/17/11	18:55:22	14.27	27.4
10/17/11	18:55:52	14.26	27.4
10/17/11	18:56:22	14.26	27.4
10/17/11	18:56:52	14.27	27.3
10/17/11	18:57:22	14.26	27.3
10/17/11	18:57:52	14.26	27.3
10/17/11	18:58:22	14.26	27.3
10/17/11	18:58:52	14.26	27.3
10/17/11	18:59:22	14.26	27.3
10/17/11	18:59:52	14.26	27.3
10/17/11	19:00:22	14.26	27.3
10/17/11	19:00:52	14.27	27.3
10/17/11	19:01:22	14.26	27.2
10/17/11	19:01:52	14.27	27.2
10/17/11	19:02:22	14.26	27.2
10/17/11	19:02:52	14.26	27.2
10/17/11	19:03:22	14.26	27.2
10/17/11	19:03:52	14.26	27.2
10/17/11	19:04:22	14.26	27.2
10/17/11	19:04:52	14.26	27.2
10/17/11	19:05:22	14.26	27.2
10/17/11	19:05:52	14.26	27.1
10/17/11	19:06:22	14.25	27.1
10/17/11	19:06:52	14.26	27.1
10/17/11	19:07:22	14.26	27.1
10/17/11	19:07:52	14.25	27.1
10/17/11	19:08:22	14.25	27.1
10/17/11	19:08:52	14.26	27.1
10/17/11	19:09:22	14.26	27.1
10/17/11	19:09:52	14.26	27.1
10/17/11	19:10:22	14.26	27.1
10/17/11	19:10:52	14.26	27.1
10/17/11	19:11:22	14.26	27.1
10/17/11	19:11:52	14.25	27.0
10/17/11	19:12:22	14.26	27.0
10/17/11	19:12:52	14.27	27.0
10/17/11	19:13:22	14.27	27.0
10/17/11	19:13:52	14.27	27.0
10/17/11	19:14:22	14.27	27.0
10/17/11	19:14:52	14.27	27.0
10/17/11	19:15:22	14.26	27.0
10/17/11	19:15:52	14.27	26.9
10/17/11	19:16:22	14.26	26.9
10/17/11	19:16:52	14.27	26.9
10/17/11	19:17:22	14.28	26.9
10/17/11	19:17:52	14.29	26.9
10/17/11	19:18:22	14.30	26.9
10/17/11	19:18:52	14.29	26.9
10/17/11	19:19:22	14.28	26.9
10/17/11	19:19:52	14.29	26.8
10/17/11	19:20:22	14.28	26.8
10/17/11	19:20:52	14.29	26.8
10/17/11	19:21:22	14.29	26.8
10/17/11	19:21:52	14.29	26.8
10/17/11	19:22:22	14.30	26.8
10/17/11	19:22:52	14.31	26.8
10/17/11	19:23:22	14.30	26.8
10/17/11	19:23:52	14.29	26.7
10/17/11	19:24:22	14.29	26.7
10/17/11	19:24:52	14.29	26.7
10/17/11	19:25:22	14.29	26.7
10/17/11	19:25:52	14.29	26.7
10/17/11	19:26:22	14.30	26.7
10/17/11	19:26:52	14.31	26.7
10/17/11	19:27:22	14.31	26.6
10/17/11	19:27:52	14.30	26.6
10/17/11	19:28:22	14.30	26.6
10/17/11	19:28:52	14.30	26.6
10/17/11	19:29:22	14.30	26.6
10/17/11	19:29:52	14.29	26.6
10/17/11	19:30:22	14.29	26.6
10/17/11	19:30:52	14.29	26.6
10/17/11	19:31:22	14.29	26.5
10/17/11	19:31:52	14.30	26.5
10/17/11	19:32:22	14.29	26.5
10/17/11	19:32:52	14.29	26.5
10/17/11	19:33:22	14.30	26.5
10/17/11	19:33:52	14.31	26.5
10/17/11	19:34:22	14.29	26.5
10/17/11	19:34:52	14.30	26.5
10/17/11	19:35:22	14.28	26.5
10/17/11	19:35:52	14.30	26.4
10/17/11	19:36:22	14.29	26.4
10/17/11	19:36:52	14.29	26.4
10/17/11	19:37:22	14.28	26.4
10/17/11	19:37:52	14.29	26.4
10/17/11	19:38:22	14.30	26.4
10/17/11	19:38:52	14.30	26.4
10/17/11	19:39:22	14.28	26.3
10/17/11	19:39:52	14.28	26.3
10/17/11	19:40:22	14.29	26.3
10/17/11	19:40:52	14.29	26.3
10/17/11	19:41:22	14.28	26.3
10/17/11	19:41:52	14.28	26.3
10/17/11	19:42:22	14.28	26.3
10/17/11	19:42:52	14.28	26.3
10/17/11	19:43:22	14.28	26.3
10/17/11	19:43:52	14.28	26.3
10/17/11	19:44:22	14.28	26.2
10/17/11	19:44:52	14.29	26.2
10/17/11	19:45:22	14.29	26.2
10/17/11	19:45:52	14.29	26.2
10/17/11	19:46:22	14.28	26.2
10/17/11	19:46:52	14.27	26.2
10/17/11	19:47:22	14.27	26.2
10/17/11	19:47:52	14.26	26.2
10/17/11	19:48:22	14.26	26.1
10/17/11	19:48:52	14.27	26.1
10/17/11	19:49:22	14.28	26.1
10/17/11	19:49:52	14.28	26.1
10/17/11	19:50:22	14.27	26.1
10/17/11	19:50:52	14.27	26.1
10/17/11	19:51:22	14.27	26.1
10/17/11	19:51:52	14.27	26.1
10/17/11	19:52:22	14.26	26.0
10/17/11	19:52:52	14.27	26.0
10/17/11	19:53:22	14.27	26.0
10/17/11	19:53:52	14.27	26.0
10/17/11	19:54:22	14.27	26.0
10/17/11	19:54:52	14.27	26.0
10/17/11	19:55:22	14.27	26.0
10/17/11	19:55:52	14.27	26.0
10/17/11	19:56:22	14.26	26.0
10/17/11	19:56:52	14.26	25.9
10/17/11	19:57:22	14.27	25.9
10/17/11	19:57:52	14.28	25.9
10/17/11	19:58:22	14.27	25.9
10/17/11	19:58:52	14.26	25.9
10/17/11	19:59:22	14.27	25.9
10/17/11	19:59:52	14.27	25.9
10/17/11	20:00:22	14.27	25.9
10/17/11	20:00:52	14.26	25.8
10/17/11	20:01:22	14.27	25.8
10/17/11	20:01:52	14.28	25.8
10/17/11	20:02:22	14.28	25.8
10/17/11	20:02:52	14.27	25.8
10/17/11	20:03:22	14.26	25.8
10/17/11	20:03:52	14.27	25.8
10/17/11	20:04:22	14.27	25.8
10/17/11	20:04:52	14.27	25.7
10/17/11	20:05:22	14.27	25.7
10/17/11	20:05:52	14.27	25.7
10/17/11	20:06:22	14.28	25.7
10/17/11	20:06:52	14.27	25.7
10/17/11	20:07:22	14.27	25.7
10/17/11	20:07:52	14.27	25.7
10/17/11	20:08:22	14.26	25.7
10/17/11	20:08:52	14.27	25.7
10/17/11	20:09:22	14.27	25.7
10/17/11	20:09:52	14.27	25.6
10/17/11	20:10:22	14.28	25.6
10/17/11	20:10:52	14.27	25.6
10/17/11	20:11:22	14.26	25.6
10/17/11	20:11:52	14.26	25.6
10/17/11	20:12:22	14.26	25.6
10/17/11	20:12:52	14.26	25.6
10/17/11	20:13:22	14.26	25.6
10/17/11	20:13:52	14.27	25.6
10/17/11	20:14:22	14.28	25.6
10/17/11	20:14:52	14.27	25.5
10/17/11	20:15:22	14.27	25.5
10/17/11	20:15:52	14.26	25.5
10/17/11	20:16:22	14.26	25.5
10/17/11	20:16:52	14.26	25.5
10/17/11	20:17:22	14.26	25.5
10/17/11	20:17:52	14.27	25.5
10/17/11	20:18:22	14.28	25.5
10/17/11	20:18:52	14.27	25.5
10/17/11	20:19:22	14.27	25.5
10/17/11	20:19:52	14.26	25.4
10/17/11	20:20:22	14.25	25.4
10/17/11	20:20:52	14.26	25.4
10/17/11	20:21:22	14.26	25.4
10/17/11	20:21:52	14.27	25.4
10/17/11	20:22:22	14.28	25.4
10/17/11	20:22:52	14.27	25.4
10/17/11	20:23:22	14.27	25.4
10/17/11	20:23:52	14.26	25.4
10/17/11	20:24:22	14.26	25.4
10/17/11	20:24:52	14.26	25.3
10/17/11	20:25:22	14.26	25.3
10/17/11	20:25:52	14.26	25.3
10/17/11	20:26:22	14.27	25.3
10/17/11	20:26:52	14.28	25.3
10/17/11	20:27:22	14.27	25.3
10/17/11	20:27:52	14.26	25.3
10/17/11	20:28:22	14.26	25.3
10/17/11	20:28:52	14.26	25.3
10/17/11	20:29:22	14.26	25.3
10/17/11	20:29:52	14.26	25.3
10/17/11	20:30:22	14.27	25.3
10/17/11	20:30:52	14.28	25.2
10/17/11	20:31:22	14.27	25.2
10/17/11	20:31:52	14.27	25.2
10/17/11	20:32:22	14.26	25.2
10/17/11	20:32:52	14.26	25.2
10/17/11	20:33:22	14.26	25.2
10/17/11	20:33:52	14.26	25.2
10/17/11	20:34:22	14.27	25.2
10/17/11	20:34:52	14.28	25.2
10/17/11	20:35:22	14.28	25.2
10/17/11	20:35:52	14.27	25.2
10/17/11	20:36:22	14.26	25.2
10/17/11	20:36:52	14.25	25.1
10/17/11	20:37:22	14.25	25.1
10/17/11	20:37:52	14.26	25.1
10/17/11	20:38:22	14.26	25.1
10/17/11	20:38:52	14.27	25.1
10/17/11	20:39:22	14.27	25.1
10/17/11	20:39:52	14.26	25.1
10/17/11	20:40:22	14.26	25.1
10/17/11	20:40:52	14.25	25.1
10/17/11	20:41:22	14.25	25.1
10/17/11	20:41:52	14.25	25.1
10/17/11	20:42:22	14.26	25.1
10/17/11	20:42:52	14.26	25.1
10/17/11	20:43:22	14.26	25.1
10/17/11	20:43:52	14.26	25.0
10/17/11	20:44:22	14.25	25.0
10/17/11	20:44:52	14.25	25.0
10/17/11	20:45:22	14.25	25.0
10/17/11	20:45:52	14.25	25.0
10/17/11	20:46:22	14.25	25.0
10/17/11	20:46:52	14.27	25.0
10/17/11	20:47:22	14.27	25.0
10/17/11	20:47:52	14.26	25.0
10/17/11	20:48:22	14.25	25.0
10/17/11	20:48:52	14.24	25.0
10/17/11	20:49:22	14.25	25.0
10/17/11	20:49:52	14.25	25.0
10/17/11	20:50:22	14.24	25.0
10/17/11	20:50:52	14.26	24.9
10/17/11	20:51:22	14.26	24.9
10/17/11	20:51:52	14.26	24.9
10/17/11	20:52:22	14.26	24.9
10/17/11	20:52:52	14.25	24.9
10/17/11	20:53:22	14.25	24.9
10/17/11	20:53:52	14.24	24.9
10/17/11	20:54:22	14.25	24.9
10/17/11	20:54:52	14.25	24.9
10/17/11	20:55:22	14.26	24.9
10/17/11	20:55:52	14.25	24.9
10/17/11	20:56:22	14.25	24.9
10/17/11	20:56:52	14.25	24.9
10/17/11	20:57:22	14.24	24.9
10/17/11	20:57:52	14.24	24.9
10/17/11	20:58:22	14.25	24.9
10/17/11	20:58:52	14.25	24.9
10/17/11	20:59:22	14.26	24.9
10/17/11	20:59:52	14.26	24.9
10/17/11	21:00:22	14.25	24.9
10/17/11	21:00:52	14.24	24.9
10/17/11	21:01:22	14.24	24.9
10/17/11	21:01:52	14.24	24.8
10/17/11	21:02:22	14.24	24.8
10/17/11	21:02:52	14.24	24.8
10/17/11	21:03:22	14.26	24.8
10/17/11	21:03:52	14.26	24.8
10/17/11	21:04:22	14.26	24.8
10/17/11	21:04:52	14.24	24.8
10/17/11	21:05:22	14.23	24.8
10/17/11	21:05:52	14.23	24.8
10/17/11	21:06:22	14.23	24.8
10/17/11	21:06:52	14.23	24.8
10/17/11	21:07:22	14.25	24.8
10/17/11	21:07:52	14.26	24.8
10/17/11	21:08:22	14.25	24.8
10/17/11	21:08:52	14.24	24.8
10/17/11	21:09:22	14.23	24.8
10/17/11	21:09:52	14.23	24.7
10/17/11	21:10:22	14.23	24.7
10/17/11	21:10:52	14.23	24.7
10/17/11	21:11:22	14.25	24.7
10/17/11	21:11:52	14.25	24.7
10/17/11	21:12:22	14.27	24.7
10/17/11	21:12:52	14.25	24.7
10/17/11	21:13:22	14.22	24.7
10/17/11	21:13:52	14.21	24.7
10/17/11	21:14:22	14.21	24.7
10/17/11	21:14:52	14.23	24.7
10/17/11	21:15:22	14.23	24.7
10/17/11	21:15:52	14.24	24.7
10/17/11	21:16:22	14.24	24.7
10/17/11	21:16:52	14.25	24.7
10/17/11	21:17:22	14.23	24.7
10/17/11	21:17:52	14.23	24.7
10/17/11	21:18:22	14.22	24.7
10/17/11	21:18:52	14.22	24.7
10/17/11	21:19:22	14.22	24.7
10/17/11	21:19:52	14.22	24.7
10/17/11	21:20:22	14.23	24.7
10/17/11	21:20:52	14.23	24.7
10/17/11	21:21:22	14.24	24.7
10/17/11	21:21:52	14.22	24.7
10/17/11	21:22:22	14.21	24.7
10/17/11	21:22:52	14.21	24.7
10/17/11	21:23:22	14.21	24.7
10/17/11	21:23:52	14.21	24.7
10/17/11	21:24:22	14.22	24.7
10/17/11	21:24:52	14.23	24.7
10/17/11	21:25:22	14.23	24.7
10/17/11	21:25:52	14.22	24.7
10/17/11	21:26:22	14.22	24.7
10/17/11	21:26:52	14.22	24.7
10/17/11	21:27:22	14.21	24.7
10/17/11	21:27:52	14.22	24.7
10/17/11	21:28:22	14.22	24.7
10/17/11	21:28:52	14.23	24.7
10/17/11	21:29:22	14.23	24.7
10/17/11	21:29:52	14.21	24.6
10/17/11	21:30:22	14.21	24.6
10/17/11	21:30:52	14.20	24.6
10/17/11	21:31:22	14.19	24.6
10/17/11	21:31:52	14.19	24.6
10/17/11	21:32:22	14.19	24.6
10/17/11	21:32:52	14.20	24.6
10/17/11	21:33:22	14.20	24.6
10/17/11	21:33:52	14.21	24.6
10/17/11	21:34:22	14.19	24.6
10/17/11	21:34:52	14.19	24.6
10/17/11	21:35:22	14.18	24.6
10/17/11	21:35:52	14.18	24.6
10/17/11	21:36:22	14.19	24.6
10/17/11	21:36:52	14.19	24.6
10/17/11	21:37:22	14.20	24.6
10/17/11	21:37:52	14.21	24.6
10/17/11	21:38:22	14.20	24.5
10/17/11	21:38:52	14.18	24.5
10/17/11	21:39:22	14.18	24.5
10/17/11	21:39:52	14.18	24.5
10/17/11	21:40:22	14.18	24.5
10/17/11	21:40:52	14.19	24.5
10/17/11	21:41:22	14.21	24.5
10/17/11	21:41:52	14.21	24.5
10/17/11	21:42:22	14.20	24.5
10/17/11	21:42:52	14.19	24.5
10/17/11	21:43:22	14.19	24.5
10/17/11	21:43:52	14.18	24.5
10/17/11	21:44:22	14.19	24.5
10/17/11	21:44:52	14.19	24.5
10/17/11	21:45:22	14.20	24.5
10/17/11	21:45:52	14.21	24.4
10/17/11	21:46:22	14.20	24.4
10/17/11	21:46:52	14.19	24.4
10/17/11	21:47:22	14.19	24.4
10/17/11	21:47:52	14.19	24.4
10/17/11	21:48:22	14.19	24.4
10/17/11	21:48:52	14.19	24.4
10/17/11	21:49:22	14.20	24.4
10/17/11	21:49:52	14.21	24.4
10/17/11	21:50:22	14.20	24.4
